charging_station_id,charging_station_operator,charging_station_name,charging_station_location,latitude,longitude,city,state,battery_capacity,energy_consumed,charging_duration,charging_rate,state_of_charge_start,state_of_charge_end,time_of_day,day_of_week,payment_type,user_type,Charger Type
Station_391,ATUM,ATUM Charge - Mulund,"Mulund West, Mumbai",19.1721,72.9568,Mumbai,Maharashtra,108.4630074,60.71234573,1.67,36.38918057,29.37157598,86.11996244,Evening,Tuesday,"App, Card",Commuter,DC Fast Charger
Station_327,EV Point,EV Point - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai, Maharashtra",19.0994,72.8269,Mumbai,Maharashtra,50,79.45782399,2.42,32.88286976,83.12000296,99.62432763,Evening,Saturday,"App, Card",Long-Distance Traveler,Level 1
Station_162,ChargeZone,ChargeZone - Ambernath,"Ambernath Station, Thane",19.186,73.1891,Mumbai,Maharashtra,85,36.86213999,1.41,26.18518786,60.75178076,70.7960969,Evening,Friday,"App, Card",Commuter,Level 2
Station_327,Magenta,Tata Power,"Fortune Cars, Navi Mumbai, Plot No. D-400, TTC Industrial Area, MIDC, Near Uran Phata Signal, Nerul, Navi Mumbai, Maharashtra - 400706",19.03639,73.029907,Mumbai,Maharashtra,75,16.56106433,0.84,19.76909872,25.77541539,69.2012291,Morning,Friday,"App, RFID",Commuter,Level 2
Station_327,EV Dock,Tata Power,"The Taj Mahal Palace, Colaba, In front of Times Building , Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",18.92279506,72.83351898,Mumbai,Maharashtra,75,16.56106433,0.84,19.76909872,25.77541539,69.2012291,Morning,Friday,"App, RFID, UPI",Commuter,Level 2
Station_327,Magenta,Tata Power,"Seven Hills Hospital, Andheri East, SevenHills Health City, Marol Maroshi Road, Andheri East, Mumbai, Maharashtra 400059",19.118831,72.87823,Mumbai,Maharashtra,75,16.56106433,0.84,19.76909872,25.77541539,69.2012291,Morning,Friday,"App, RFID, UPI",Commuter,Level 2
Station_327,Volttic,Tata Power,"IOCL Sahara Hospitality, Vile Parle, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",19.094122,72.85223,Mumbai,Maharashtra,75,16.56106433,0.84,19.76909872,25.77541539,69.2012291,Morning,Friday,"App, UPI",Commuter,Level 2
Station_327,EV Point,Tata Power,"CR - Lokmanya Tilak Station, Kurla, Outside Platform 1, Beside LTT Pay and Park, LTT Station, Pipeline Rd, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089",19.068262,72.890964,Mumbai,Maharashtra,75,16.56106433,0.84,19.76909872,25.77541539,69.2012291,Morning,Friday,App,Commuter,Level 2
Station_96,Jio-bp Pulse,"IOCL - COCO, Prabhadevi","Plot No, P. N. 1207, CADELL RD. MUMBAI, PRABHADEVI CADEL RD., MUMBAI - 400022",19.018857,72.831076,Mumbai,Maharashtra,85,12.92754529,0.53,24.21115012,71.68354384,63.70663794,Afternoon,Monday,"App, Card, UPI",Casual Driver,Level 1
Station_150,EVteQ,EVteQ - Borivali,"Borivali East, Mumbai",19.2365,72.8552,Mumbai,Maharashtra,100,27.60438468,2.46,11.23853863,65.48688658,65.35209627,Morning,Wednesday,"App, Card, UPI",Long-Distance Traveler,Level 1
Station_361,Magenta,Magenta ChargeGrid - Worli,"Atria Mall, Dr Annie Besant Rd, Worli, Mumbai",19.0085,72.8153,Mumbai,Maharashtra,75,43.48775122,1.2,36.18237188,88.74847907,87.824029,Afternoon,Thursday,"App, Card",Commuter,Level 1
