station_key,station_name,charging_station_operator,energy_consumed_kwh_sum,energy_consumed_kwh_mean,charging_duration_hours_mean,charging_rate_kw_mean,sessions_count,peak_time_of_day,peak_day_of_week,latitude,longitude,city,state,charging_station_location,stations_within_2km
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Ather,56.1150925,56.1150925,10.22,5.488039505,3,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Tata Power,5.163807088,5.163807088,0.98,5.265203285,3,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Volttic,40.7367048,40.7367048,4.13,9.866759209,3,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4
"12th_road,_above_upadhyaya_nursing_home,_santacruz_east,_mumbai,_maharashtra","12th Road, Above Upadhyaya Nursing Home, Santacruz East, Mumbai, Maharashtra",Tata Power,47.76784734,47.76784734,1.45,32.99434153,1,Night,Thursday,19.0737,72.857,Mumbai,Maharashtra,"12th Road, Above Upadhyaya Nursing Home, Santacruz East, Mumbai, Maharashtra",2
"14,_jp_rd,_aram_nagar,_seven_bunglow,_andheri_west","14, JP Rd, Aram Nagar, Seven Bunglow, Andheri West",Jio-bp Pulse,55.30273056,55.30273056,1.48,37.34746081,1,Morning,Thursday,19.13030121,72.82229723,Mumbai,Maharashtra,"14, JP Rd, Aram Nagar, Seven Bunglow, Andheri West",5
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",EVteQ,32.34799933,32.34799933,2.13,15.17023592,3,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",VoltaPoint,8.234584116,8.234584116,0.19,43.81287256,3,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",Volttic,60.06708509,60.06708509,7.85,7.651570047,3,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12
"2/7_meghal_industrial_estate,_devidayal_road,_mulund_west,_mumbai,_maharashtra_400080","2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",ATUM,25.13233553,25.13233553,1.55,16.20549351,2,Afternoon,Friday,19.17674569,72.94574801,Mumbai,Maharashtra,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",7
"2/7_meghal_industrial_estate,_devidayal_road,_mulund_west,_mumbai,_maharashtra_400080","2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",EVteQ,34.89511327,34.89511327,7.15,4.881436199,2,Afternoon,Friday,19.17674569,72.94574801,Mumbai,Maharashtra,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",7
"36,_sv_rd,_santosh_nagar,_bandra_west,_mumbai,_maharashtra_400050","36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",Jio-bp Pulse,98.35057846,49.17528923,5.54,10.23618944,3,Morning,Friday,19.051601,72.838011,Mumbai,Maharashtra,"36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",4
"36,_sv_rd,_santosh_nagar,_bandra_west,_mumbai,_maharashtra_400050","36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",Magenta,29.75838484,29.75838484,1.01,29.38504741,3,Morning,Friday,19.051601,72.838011,Mumbai,Maharashtra,"36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",4
"4/5,_enterprise_apartment,_forjet_hill_rd,_tardeo,_mumbai","4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",Tata Power,75.65384518,37.82692259,1.865,20.21899247,2,Afternoon,Friday,18.965,72.8098,Mumbai,Maharashtra,"4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",6
"4_wheeler_parking_area_godrej_one_pirojshanagar,_eastern_express_highway,_vikhroli_u00e2u0080u0093_east,_mumbai_u00e2u0080u0093_400079","4 Wheeler Parking area Godrej One Pirojshanagar, Eastern Express Highway, Vikhroli u00e2u0080u0093 East, Mumbai u00e2u0080u0093 400079",Statiq,39.73385255,39.73385255,1.86,21.39560578,1,Morning,Tuesday,19.0925655,72.9223514,Mumbai,Maharashtra,"4 Wheeler Parking area Godrej One Pirojshanagar, Eastern Express Highway, Vikhroli u00e2u0080u0093 East, Mumbai u00e2u0080u0093 400079",5
"527,_building_no-2,_sra_cooperative_society,_prabhadevi,_near_ahuja_towers,_mumbai","527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",VoltaPoint,49.43856017,24.71928009,11.48509206,23.48374405,2,Evening,Monday,19.0161,72.828,Mumbai,Maharashtra,"527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",13
"95,_malad,_viaykar_vadi,_malad_west,_mumbai_400064","95, Malad, Viaykar Vadi, Malad West, Mumbai 400064",ATUM,53.9569817,53.9569817,3.02,17.87474459,1,Night,Monday,19.1876,72.8436,Mumbai,Maharashtra,"95, Malad, Viaykar Vadi, Malad West, Mumbai 400064",6
"ambernath_station,_thane","Ambernath Station, Thane",ChargeZone,36.86213999,36.86213999,1.41,26.18518786,1,Evening,Friday,19.186,73.1891,Mumbai,Maharashtra,"Ambernath Station, Thane",0
"andheri_east_metro_station,_mumbai","Andheri East Metro Station, Mumbai",Statiq,68.21954378,34.10977189,4.7,13.97844042,2,Evening,Monday,19.1146,72.8696,Mumbai,Maharashtra,"Andheri East Metro Station, Mumbai",17
"anik_depot,_municipal_kamgar_vasahat,_trombay_industrial_area,_chembur,_mumbai","Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,75.40700954,75.40700954,4.25,17.72970872,1,Evening,Sunday,19.0302,72.8927,Mumbai,Maharashtra,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",4
"antop_hill_post_office,_mumbai","Antop Hill Post Office, Mumbai",Tata Power,49.73870005,49.73870005,1.51,32.86836958,1,Night,Wednesday,19.0165,72.8605,Mumbai,Maharashtra,"Antop Hill Post Office, Mumbai",4
"anushakti_nagar,_trombay,_mumbai","Anushakti Nagar, Trombay, Mumbai",Magenta,111.4056879,37.1352293,1.23,32.09440591,3,Night,Friday,19.037,72.9235,Mumbai,Maharashtra,"Anushakti Nagar, Trombay, Mumbai",1
"apollo_bunder_road,_colaba,_mumbai","Apollo Bunder Road, Colaba, Mumbai",Tata Power,98.18852471,32.72950824,10.21666667,18.84383126,3,Evening,Friday,18.9218,72.8347,Mumbai,Maharashtra,"Apollo Bunder Road, Colaba, Mumbai",13
"atria_mall,_dr_annie_besant_rd,_worli,_mumbai","Atria Mall, Dr Annie Besant Rd, Worli, Mumbai",Magenta,121.126268,60.563134,5.375,22.15391343,2,Afternoon,Saturday,19.0085,72.8153,Mumbai,Maharashtra,"Atria Mall, Dr Annie Besant Rd, Worli, Mumbai",7
